2021-06-04T16:28:24.312Z [AUDIT] Token created by 'jfrt@01f7bxn7q4e1f51je0frwt1mxc': tokenId='ca4a2ce4-4a34-4d83-877f-e0ff0731d916', issuer='jfrt@01f7bxn7q4e1f51je0frwt1mxc', subject='jfrt@01f7bxn7q4e1f51je0frwt1mxc', expiry=2568904104308, refreshable=false
2021-06-04T16:28:25.835Z [AUDIT] Token created by 'jfrt@01f7bxn7q4e1f51je0frwt1mxc': tokenId='824dd833-4e36-4f3e-8661-0d33581048ac', issuer='jfrt@01f7bxn7q4e1f51je0frwt1mxc/users/_system_', subject='jfrt@01f7bxn7q4e1f51je0frwt1mxc/users/_system_', expiry=none, refreshable=false
2021-06-04T16:28:32.537Z [AUDIT] Token created by 'anonymous': tokenId='64b0a9b0-caa1-443b-ae74-e2ed0ad5d240', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2021-06-04T16:28:32.624Z [AUDIT] Token created by 'jffe@000': tokenId='454fd5f8-8ffc-4312-861a-cf98c24aeb02', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622824712624, refreshable=false
2021-06-04T16:28:46.429Z [AUDIT] Token created by 'jffe@000': tokenId='a9812786-24e2-4d47-8390-1dba832767f9', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622824726428, refreshable=false
2021-06-04T16:28:46.438Z [AUDIT] Token created by 'jffe@000': tokenId='ad8cccc7-166b-4d5d-b989-fc8c56953ff7', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622824726438, refreshable=false
2021-06-04T16:28:46.475Z [AUDIT] Token created by 'jffe@000': tokenId='5a8d6633-3f4b-4613-a835-b41c9bccb903', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622824726475, refreshable=false
2021-06-04T16:29:26.412Z [AUDIT] Token created by 'jffe@000': tokenId='11707322-dd04-4194-9511-50be627551b6', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622825966410, refreshable=true
2021-06-04T16:29:26.500Z [AUDIT] Token created by 'jffe@000': tokenId='cc957054-089a-47a0-af5c-f50071345c36', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622824766500, refreshable=false
2021-06-04T16:29:26.501Z [AUDIT] Token created by 'jffe@000': tokenId='663edf00-70f5-42d8-b0f8-7807d211712b', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622824766501, refreshable=false
2021-06-04T16:29:26.501Z [AUDIT] Token created by 'jffe@000': tokenId='cf275d3f-5e1b-4f4c-8d9e-3bdbdd93f43b', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622824766501, refreshable=false
2021-06-04T16:30:32.730Z [AUDIT] Token created by 'jffe@000': tokenId='45d5fba3-aae0-4c4c-8687-0f09d4cc5edb', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622826032728, refreshable=true
2021-06-04T16:30:32.784Z [AUDIT] Token created by 'jffe@000': tokenId='5b5a2d05-1507-4cf1-bac1-fc9ae905c924', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622824832784, refreshable=false
2021-06-04T16:30:32.789Z [AUDIT] Token created by 'jffe@000': tokenId='9ddd6014-c8e3-47ac-9418-90709a633e31', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622824832789, refreshable=false
2021-06-04T16:38:35.236Z [AUDIT] Token created by 'jffe@000': tokenId='87d96316-23c4-4a43-8b5f-7fbec47f8884', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622825315235, refreshable=false
2021-06-04T16:38:35.236Z [AUDIT] Token created by 'jffe@000': tokenId='b4cd010e-0886-4347-a9f6-63f7ede55259', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622825315236, refreshable=false
2021-06-04T16:38:35.238Z [AUDIT] Token created by 'jffe@000': tokenId='8016c597-6159-4d7b-ae16-e89958e0383e', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622825315238, refreshable=false
2021-06-04T16:39:48.268Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='45d5fba3-aae0-4c4c-8687-0f09d4cc5edb', tokenId='3a1f9609-5651-4014-bdd1-75e664e7b918', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622826588259, refreshable=true
2021-06-04T16:40:41.513Z [AUDIT] Token created by 'jffe@000': tokenId='e35e26b9-bc50-4a1a-9882-be2ff6d49898', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622825441513, refreshable=false
2021-06-04T16:40:54.116Z [AUDIT] Token created by 'jffe@000': tokenId='526d72d8-38dc-471a-80e3-104dc47100da', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622825454116, refreshable=false
2021-06-04T16:40:54.320Z [AUDIT] Token created by 'jffe@000': tokenId='549e2237-1ee9-4c87-a227-5c4d3894d391', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622825454320, refreshable=false
2021-06-04T16:44:48.307Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='3a1f9609-5651-4014-bdd1-75e664e7b918', tokenId='d664c3aa-21da-41cd-a089-828663458cfb', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622826888295, refreshable=true
2021-06-04T16:48:35.299Z [AUDIT] Token created by 'jffe@000': tokenId='ec326bbf-b0ac-4e0a-be27-edb19682578a', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622825915298, refreshable=false
2021-06-04T16:48:35.300Z [AUDIT] Token created by 'jffe@000': tokenId='4f7d3198-c09b-43a0-92d4-9e01aa7e873d', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622825915300, refreshable=false
2021-06-04T16:48:35.300Z [AUDIT] Token created by 'jffe@000': tokenId='0c578ad5-ba45-4220-8901-36c353e96aa8', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622825915300, refreshable=false
2021-06-04T16:49:00.076Z [AUDIT] Token created by 'jffe@000': tokenId='a4d3f93e-bade-46e3-b205-e5dfa3d8cdca', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622825940076, refreshable=false
2021-06-04T16:50:41.971Z [AUDIT] Token created by 'jffe@000': tokenId='e657ce70-ebd1-4167-b396-23d6fa18033a', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622826041971, refreshable=false
2021-06-04T16:58:35.379Z [AUDIT] Token created by 'jffe@000': tokenId='21523448-ee98-4792-b82f-1a2c12d4b30f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622826515379, refreshable=false
2021-06-04T16:58:35.381Z [AUDIT] Token created by 'jffe@000': tokenId='d61fffec-ed1e-4206-bcc8-1415b906a860', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622826515381, refreshable=false
2021-06-04T16:58:35.387Z [AUDIT] Token created by 'jffe@000': tokenId='ef9f4708-a43d-409c-8db3-2c17cfdfe431', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622826515387, refreshable=false
2021-06-04T17:01:15.961Z [AUDIT] Token created by 'jffe@000': tokenId='44dcccb1-ee55-4e98-a4d2-d270cfc9855e', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622826675960, refreshable=false
2021-06-04T17:08:35.446Z [AUDIT] Token created by 'jffe@000': tokenId='08fb0a25-a757-45c9-9b14-cf347af21c55', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622827115446, refreshable=false
2021-06-04T17:08:35.446Z [AUDIT] Token created by 'jffe@000': tokenId='da99e778-ce03-4310-bb49-85397dd2ff29', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622827115446, refreshable=false
2021-06-04T17:08:35.449Z [AUDIT] Token created by 'jffe@000': tokenId='bb938956-285c-4ec1-948a-46ea8cc997f1', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622827115449, refreshable=false
2021-06-04T17:11:15.958Z [AUDIT] Token created by 'jffe@000': tokenId='db85b1bb-ae8c-4dcf-825d-d37010f14834', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622827275958, refreshable=false
2021-06-04T17:16:16.115Z [AUDIT] Token created by 'jffe@000': tokenId='1477f7c7-2689-4c0e-8cba-b13829e8960c', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622827576115, refreshable=false
2021-06-04T17:16:16.116Z [AUDIT] Token created by 'jffe@000': tokenId='53e2cfbf-d4c1-4681-8e25-1e0d534487de', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622827576116, refreshable=false
2021-06-04T17:16:16.120Z [AUDIT] Token created by 'jffe@000': tokenId='dc17162a-7759-4ce0-85a1-1b39d8cb0b77', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622827576120, refreshable=false
2021-06-04T17:16:16.126Z [AUDIT] Token created by 'jffe@000': tokenId='514f9926-4c0d-4b46-88b9-28b1c1008064', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622827576126, refreshable=false
2021-06-04T17:18:35.566Z [AUDIT] Token created by 'jffe@000': tokenId='9e2039ff-7124-4adb-8b5c-126aebe76287', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622827715566, refreshable=false
2021-06-04T17:18:35.567Z [AUDIT] Token created by 'jffe@000': tokenId='3bddf1cc-7b43-4305-acb3-84b70f8f3565', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622827715567, refreshable=false
2021-06-04T17:18:35.567Z [AUDIT] Token created by 'jffe@000': tokenId='88f1c1a8-b87b-460c-95b3-0746ec31e903', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622827715567, refreshable=false
2021-06-04T17:28:35.613Z [AUDIT] Token created by 'jffe@000': tokenId='f3f815cd-1f2f-477f-8deb-0c07a4bb89d1', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622828315613, refreshable=false
2021-06-04T17:28:35.613Z [AUDIT] Token created by 'jffe@000': tokenId='c1d715e4-8c42-4979-aff4-8fc08e235b59', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622828315613, refreshable=false
